Postcode,Postcode78,Easting,Northing,OA,X,Y
BA1 1UB,BA1 1UB,374994,164389,E00072574,-2.360694695,51.37794572
BA1 1UD,BA1 1UD,374994,164389,E00072574,-2.360694695,51.37794572
BA1 1UF,BA1 1UF,374953,164502,E00072576,-2.361291812,51.37895994
BA1 1UG,BA1 1UG,375007,164460,E00072576,-2.360512892,51.3785847
BA1 1UH,BA1 1UH,374988,164542,E00072576,-2.360791751,51.37932114
BA1 1UJ,BA1 1UJ,375022,164495,E00072574,-2.360299875,51.37890007
BA1 1UL,BA1 1UL,374964,164536,E00072576,-2.361136066,51.37926614
BA1 1UN,BA1 1UN,374826,164704,E00072759,-2.363130919,51.38077063
BA1 1UP,BA1 1UP,374858,164582,E00072576,-2.362662464,51.37967503
BA1 1UQ,BA1 1UQ,374962,164579,E00072576,-2.361167896,51.37965268
BA1 1US,BA1 1US,374752,164643,E00072759,-2.364189841,51.38021882
BA1 1UT,BA1 1UT,374766,164616,E00072759,-2.363986754,51.37997665
BA1 1UX,BA1 1UX,374743,164655,E00072759,-2.364319948,51.38032629
BA1 1UZ,BA1 1UZ,375350,164483,E00072575,-2.355586339,51.3788065
BA1 1WF,BA1 1WF,375350,164483,E00072575,-2.355586339,51.3788065
BA1 1WG,BA1 1WG,375350,164483,E00072575,-2.355586339,51.3788065
BA1 1WX,BA1 1WX,375350,164483,E00072575,-2.355586339,51.3788065
BA1 1XA,BA1 1XA,374711,164591,E00072759,-2.364775273,51.37974937
BA1 1XB,BA1 1XB,374689,164646,E00072759,-2.36509528,51.38024297
BA1 1XD,BA1 1XD,374659,164609,E00072758,-2.365523622,51.37990894
BA1 1XE,BA1 1XE,374656,164758,E00072759,-2.365577417,51.38124854
BA1 1XH,BA1 1XH,374631,164734,E00072759,-2.365934904,51.38103168
BA1 1ZH,BA1 1ZH,375350,164483,E00072575,-2.355586339,51.3788065
BA1 1ZN,BA1 1ZN,375350,164483,E00072575,-2.355586339,51.3788065
BA1 1ZT,BA1 1ZT,375350,164483,E00072575,-2.355586339,51.3788065
BA1 2AA,BA1 2AA,374789,164776,E00072757,-2.363667628,51.38141638
BA1 2AB,BA1 2AB,374807,164735,E00072759,-2.363406083,51.38104854
BA1 2AD,BA1 2AD,374795,164766,E00072759,-2.363580785,51.38132666
BA1 2AE,BA1 2AE,374824,164780,E00072759,-2.363164997,51.38145389
BA1 2AF,BA1 2AF,374782,164754,E00072759,-2.363766643,51.38121822
BA1 2AG,BA1 2AG,374714,164755,E00072757,-2.364743871,51.38122417
BA1 2AH,BA1 2AH,374776,164832,E00072757,-2.363858451,51.38191928
BA1 2AJ,BA1 2AJ,374829,164778,E00072757,-2.36309306,51.38143614
BA1 2AL,BA1 2AL,374704,164844,E00072757,-2.364893941,51.38202402
BA1 2AN,BA1 2AN,374839,164797,E00072757,-2.362950704,51.38160738
BA1 2AP,BA1 2AP,374732,164888,E00072756,-2.364494745,51.38242088
BA1 2AQ,BA1 2AQ,374741,164798,E00072757,-2.364358945,51.38161199
BA1 2AR,BA1 2AR,374658,164904,E00072775,-2.365559205,51.38256139
BA1 2AS,BA1 2AS,374658,164904,E00072775,-2.365559205,51.38256139
BA1 2AT,BA1 2AT,374561,164946,E00072775,-2.36695597,51.38293476
BA1 2AU,BA1 2AU,374506,164973,E00072775,-2.367748271,51.38317498
BA1 2AW,BA1 2AW,374277,165014,E00072772,-2.371041831,51.38353334
BA1 2AX,BA1 2AX,374449,164982,E00072773,-2.368567953,51.3832534
BA1 2AY,BA1 2AY,374640,164935,E00072775,-2.365820059,51.38283934
BA1 2AZ,BA1 2AZ,374391,164987,E00072773,-2.369401802,51.38329572
BA1 2BA,BA1 2BA,374357,164987,E00072772,-2.369890283,51.38329418
BA1 2BB,BA1 2BB,374457,164931,E00072773,-2.368449347,51.38279514
BA1 2BD,BA1 2BD,374252,165002,E00072772,-2.371400182,51.38342425
BA1 2BE,BA1 2BE,374359,164873,E00072774,-2.36985335,51.38226925
BA1 2BG,BA1 2BG,374390,164933,E00072774,-2.369412228,51.38281009
BA1 2BH,BA1 2BH,374490,164962,E00072775,-2.367977323,51.38307538
BA1 2BJ,BA1 2BJ,374501,164958,E00072775,-2.367818987,51.38303992
BA1 2BL,BA1 2BL,374556,164892,E00072755,-2.367024001,51.38244894
BA1 2BN,BA1 2BN,374561,164917,E00072775,-2.366953885,51.38267398
BA1 2BP,BA1 2BP,374405,164846,E00072774,-2.369190427,51.38202854
BA1 2BQ,BA1 2BQ,374421,164973,E00072773,-2.36896965,51.38317114
BA1 2BT,BA1 2BT,374518,164872,E00072758,-2.367568494,51.38226736
BA1 2BU,BA1 2BU,374487,164856,E00072758,-2.368012805,51.38212214
BA1 2BW,BA1 2BW,374762,164869,E00072756,-2.364062259,51.38225134
BA1 2BX,BA1 2BX,374702,164705,E00072759,-2.364912673,51.38077409
BA1 2DA,BA1 2DA,374826,164704,E00072759,-2.363130919,51.38077063
BA1 2DL,BA1 2DL,374746,164878,E00072756,-2.364292861,51.38233161
BA1 2DP,BA1 2DP,374886,164916,E00072573,-2.362283856,51.38267952
BA1 2DR,BA1 2DR,374448,164748,E00072758,-2.368565388,51.38114929
BA1 2DS,BA1 2DS,374222,165580,E00072801,-2.371873444,51.38862009
BA1 2DU,BA1 2DU,374877,165167,E00072566,-2.362430939,51.38493601
BA1 2DZ,BA1 2DZ,375350,164483,E00072575,-2.355586339,51.3788065
BA1 2EB,BA1 2EB,374953,165153,E00072573,-2.361337903,51.38481354
BA1 2ED,BA1 2ED,374959,165199,E00072566,-2.361254905,51.38522739
BA1 2EE,BA1 2EE,374911,165189,E00072566,-2.361944,51.38513537
BA1 2EH,BA1 2EH,374851,165118,E00072566,-2.362801146,51.3844943
BA1 2EJ,BA1 2EJ,374868,165126,E00072566,-2.362557408,51.38456697
BA1 2EN,BA1 2EN,374848,165157,E00072566,-2.362847046,51.38484483
BA1 2ER,BA1 2ER,374727,165313,E00072585,-2.364596905,51.38624209
BA1 2ES,BA1 2ES,374750,165328,E00072583,-2.364267404,51.38637804
BA1 2ET,BA1 2ET,374783,165326,E00072587,-2.363793082,51.38636145
BA1 2EU,BA1 2EU,374811,165251,E00072587,-2.363385365,51.38568834
BA1 2EW,BA1 2EW,374735,165228,E00072583,-2.364475904,51.3854782
BA1 2EX,BA1 2EX,374805,165302,E00072587,-2.363475254,51.38614669
BA1 2EY,BA1 2EY,374978,165204,E00072566,-2.360982156,51.38527318
